G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
22100,-0.114284,,,,,,,,,,,
22150,-0.0726745,,,,,,,,,,,
22200,-0.06446,,,,,,,,,,,
22250,-0.00741226,,,,,,,,,,,
22300,0.0889996,,,,,,,,,,,
22350,0.214586,,,,,,,,,,,
22400,0.103056,,,,,,,,,,,
22450,0.0818717,,,,,,,,,,,
22500,0.110958,,,,,,,,,,,
22550,0.0819741,,,,,,,,,,,
22600,0.0150865,,,,,,,,,,,
22650,0.0171255,,,,,,,,,,,
22700,0.0527746,,,,,,,,,,,
22750,0.0199442,,,,,,,,,,,
22800,-0.065752,,,,,,,,,,,
22850,-0.0563734,,,,,,,,,,,
22900,-0.0939438,,,,,,,,,,,
22950,-0.146823,,,,,,,,,,,
23000,-0.186145,,,,,,,,,,,
23050,-0.229689,,,,,,,,,,,
23100,-0.188527,,,,,,,,,,,
23150,-0.236146,,,,,,,,,,,
23200,-0.304873,,,,,,,,,,,
23250,-0.256544,,,,,,,,,,,
23300,-0.294769,,,,,,,,,,,
23350,-0.347643,,,,,,,,,,,
23400,-0.448092,,,,,,,,,,,
23450,-0.449546,,,,,,,,,,,
23500,-0.522623,,,,,,,,,,,
23550,-0.60234,,,,,,,,,,,
23600,-0.686084,,,,,,,,,,,
23650,-0.703018,,,,,,,,,,,
23700,-0.767531,,,,,,,,,,,
23750,-0.864395,,,,,,,,,,,
23800,-0.942436,,,,,,,,,,,
23850,-0.886075,,,,,,,,,,,
23900,-1.02524,,,,,,,,,,,
23950,-1.01826,,,,,,,,,,,
24000,-1.03486,,,,,,,,,,,
24050,-1.08342,,,,,,,,,,,
24100,-0.98612,,,,,,,,,,,
24150,-1.11129,,,,,,,,,,,
24200,-1.18444,,,,,,,,,,,
24250,-1.11182,,,,,,,,,,,
24300,-1.03706,,,,,,,,,,,
24350,-1.17794,,,,,,,,,,,
24400,-1.18819,,,,,,,,,,,
24450,-1.20503,,,,,,,,,,,
24500,-1.1404,,,,,,,,,,,
24550,-1.03011,,,,,,,,,,,
24600,-1.08215,,,,,,,,,,,
24650,-1.02395,,,,,,,,,,,
24700,-1.13845,,,,,,,,,,,
24750,-1.23312,,,,,,,,,,,
24800,-1.19577,,,,,,,,,,,
24850,-1.12196,,,,,,,,,,,
24900,-1.11014,,,,,,,,,,,
24950,-1.09662,,,,,,,,,,,
25000,-1.04342,,,,,,,,,,,
25050,-1.15713,,,,,,,,,,,
25100,-1.15486,,,,,,,,,,,
25150,-1.0595,,,,,,,,,,,
25200,-1.13566,,,,,,,,,,,
25250,-1.24548,,,,,,,,,,,
25300,-1.25676,,,,,,,,,,,
25350,-1.13485,,,,,,,,,,,
25400,-1.21158,,,,,,,,,,,
25450,-1.14541,,,,,,,,,,,
25500,-1.15975,,,,,,,,,,,
25550,-1.08447,,,,,,,,,,,
25600,-1.00205,,,,,,,,,,,
25650,-0.953826,,,,,,,,,,,
25700,-0.933141,,,,,,,,,,,
25750,-0.833122,,,,,,,,,,,
25800,-0.774655,,,,,,,,,,,
25850,-0.76155,,,,,,,,,,,
25900,-0.82776,,,,,,,,,,,
25950,-0.772901,,,,,,,,,,,
26000,-0.756824,,,,,,,,,,,
26050,-0.818993,,,,,,,,,,,
26100,-0.870648,,,,,,,,,,,
26150,-0.891582,,,,,,,,,,,
26200,-0.892307,,,,,,,,,,,
26250,-0.870902,,,,,,,,,,,
26300,-0.755581,,,,,,,,,,,
26350,-0.777775,,,,,,,,,,,
26400,-0.920508,,,,,,,,,,,
26450,-0.831113,,,,,,,,,,,
26500,-0.735376,,,,,,,,,,,
26550,-0.918095,,,,,,,,,,,
26600,-1.03032,,,,,,,,,,,
26650,-1.06195,,,,,,,,,,,
26700,-0.993322,,,,,,,,,,,
26750,-1.09712,,,,,,,,,,,
26800,-1.02856,,,,,,,,,,,
26850,-1.09053,,,,,,,,,,,
26900,-1.22424,,,,,,,,,,,
26950,-1.18692,,,,,,,,,,,
27000,-1.14385,,,,,,,,,,,
27050,-1.14233,,,,,,,,,,,
27100,-1.11822,,,,,,,,,,,
27150,-1.15435,,,,,,,,,,,
27200,-1.03882,,,,,,,,,,,
27250,-1.03773,,,,,,,,,,,
27300,-1.14069,,,,,,,,,,,
27350,-1.05031,,,,,,,,,,,
27400,-1.01366,,,,,,,,,,,
27450,-0.985433,,,,,,,,,,,
27500,-1.06773,,,,,,,,,,,
27550,-1.0766,,,,,,,,,,,
27600,-1.06131,,,,,,,,,,,
27650,-1.18277,,,,,,,,,,,
27700,-1.21558,,,,,,,,,,,
27750,-1.17545,,,,,,,,,,,
27800,-1.25752,,,,,,,,,,,
27850,-1.20953,,,,,,,,,,,
27900,-1.22713,,,,,,,,,,,
27950,-1.32652,,,,,,,,,,,
28000,-1.31205,,,,,,,,,,,
28050,-1.32093,,,,,,,,,,,
28100,-1.51514,,,,,,,,,,,
